LAST SEEN   TYPE      REASON                   OBJECT                                   MESSAGE
11m         Normal    ScalingReplicaSet        deployment/load-simulator                Scaled up replica set load-simulator-57fc84dfdf from 0 to 1
11m         Normal    SuccessfulCreate         replicaset/load-simulator-57fc84dfdf     Created pod: load-simulator-57fc84dfdf-svs25
11m         Normal    NotTriggerScaleUp        pod/dispatch-service-5589cf949c-szzdd    pod didn't trigger scale-up: 1 node(s) didn't match Pod's node affinity/selector
11m         Normal    NotTriggerScaleUp        pod/load-simulator-57fc84dfdf-svs25      pod didn't trigger scale-up: 1 node(s) didn't match Pod's node affinity/selector
11m         Normal    NotTriggerScaleUp        pod/grid-dashboard-66cb797c94-2g8fb      pod didn't trigger scale-up: 1 node(s) didn't match Pod's node affinity/selector
11m         Normal    NotTriggerScaleUp        pod/dispatch-service-5589cf949c-76sb4    pod didn't trigger scale-up: 1 node(s) didn't match Pod's node affinity/selector
11m         Normal    NotTriggerScaleUp        pod/grid-dashboard-66cb797c94-66qgc      pod didn't trigger scale-up: 1 node(s) didn't match Pod's node affinity/selector
11m         Normal    NotTriggerScaleUp        pod/ops-console-558566cf95-qcw2f         pod didn't trigger scale-up: 1 node(s) didn't match Pod's node affinity/selector
11m         Normal    EnsuredLoadBalancer      service/grid-dashboard                   Ensured load balancer
11m         Normal    EnsuringLoadBalancer     service/ops-console                      Ensuring load balancer
11m         Normal    EnsuredLoadBalancer      service/ops-console                      Ensured load balancer
7m32s       Normal    WaitForPodScheduled      persistentvolumeclaim/mongodb-data-pvc   waiting for pod mongodb-d948b8585-kzcjv to be scheduled
7m24s       Normal    Scheduled                pod/grid-dashboard-66cb797c94-2g8fb      Successfully assigned energy/grid-dashboard-66cb797c94-2g8fb to <REDACTED_NODE>
7m24s       Normal    Scheduled                pod/rabbitmq-79d58d7457-g59zg            Successfully assigned energy/rabbitmq-79d58d7457-g59zg to <REDACTED_NODE>
7m24s       Normal    Scheduled                pod/asset-service-c744d6667-56pqq        Successfully assigned energy/asset-service-c744d6667-56pqq to <REDACTED_NODE>
7m24s       Normal    Scheduled                pod/meter-service-5b8f45f67f-x8m57       Successfully assigned energy/meter-service-5b8f45f67f-x8m57 to <REDACTED_NODE>
7m24s       Normal    Scheduled                pod/grid-dashboard-66cb797c94-66qgc      Successfully assigned energy/grid-dashboard-66cb797c94-66qgc to <REDACTED_NODE>
7m24s       Normal    Provisioning             persistentvolumeclaim/mongodb-data-pvc   External provisioner is provisioning volume for claim "energy/mongodb-data-pvc"
7m24s       Normal    ExternalProvisioning     persistentvolumeclaim/mongodb-data-pvc   Waiting for a volume to be created either by the external provisioner 'disk.csi.azure.com' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
7m24s       Normal    Scheduled                pod/dispatch-service-5589cf949c-76sb4    Successfully assigned energy/dispatch-service-5589cf949c-76sb4 to <REDACTED_NODE>
7m24s       Normal    Scheduled                pod/meter-service-5b8f45f67f-5tzlj       Successfully assigned energy/meter-service-5b8f45f67f-5tzlj to <REDACTED_NODE>
7m24s       Normal    Scheduled                pod/asset-service-c744d6667-lgwwt        Successfully assigned energy/asset-service-c744d6667-lgwwt to <REDACTED_NODE>
